keyword,category_name,country,trends_mean,trends_slope,yt_total_views,yt_engagement,ali_avg_sale_price,cluster,success_proba,rf_prob,xgb_prob_high,forecast_mean,trend_quality,consistency_score,social_velocity,POS,tier
reloj casual hombre,Watches,MX,2.076923,-0.006211,897.0,0.008919,35.441,Muerto,0.002413,0.0,0.004388,1.517917,-0.00091,2e-06,2.666667,0.169053,LOW
reloj mujer elegante,Watches,MX,7.912088,0.423666,3455.0,0.02576,31.322,Muerto,0.012499,0.025,0.004416,46.042045,0.132042,0.0,4.045455,0.176554,LOW
reloj cronografo,Watches,MX,7.967033,0.421739,19878.0,0.047641,53.166,Estable,0.013154,0.01,0.004408,45.923555,0.138135,0.0,59.1875,0.178311,LOW
reloj deportivo silicona,Watches,MX,1.098901,-0.057334,127.0,0.0,79.4,Muerto,0.002838,0.0,0.004388,0.0,-0.005487,2.8e-05,0.0,0.172171,LOW
pulsera acero inoxidable,Jewelry & Accessories,MX,2.813187,0.064437,102213.0,0.030084,13.856,Estable,0.00077,0.005,0.004388,8.612518,0.014958,1.5e-05,69.886364,0.172004,LOW
pulsera cuero hombre,Watches,MX,1.098901,0.062112,125.0,0.048,11.626,Muerto,0.001878,0.0,0.004388,6.688963,0.005944,2.8e-05,1.0,0.172126,LOW
anillo acero inoxidable,Jewelry & Accessories,MX,2.681319,0.10395,81860.0,0.024151,8.228,Estable,0.000822,0.01,0.004388,12.036789,0.023174,1.6e-05,44.931818,0.171821,LOW
aretes acero inoxidable,Jewelry & Accessories,MX,10.978022,0.602421,83052.0,0.028488,13.094,Estable,0.010372,0.6586,0.005334,65.195891,0.239882,0.0,51.434783,0.179814,LOW
joyero portatil viaje,Jewelry & Accessories,MX,1.098901,0.041408,,0.0,28.71,Muerto,0.001578,0.0,0.004388,4.825609,0.003963,2.8e-05,0.0,0.171927,LOW
rodillera deportiva,Sports & Entertainment,MX,1.230769,0.005001,235181.0,0.007279,27.065,Muerto,0.00208,0.0,0.004388,1.680841,0.000535,2.7e-05,77.818182,0.173828,LOW
muñequera deportiva,Sports & Entertainment,MX,1.934066,0.106896,300661.0,0.01349,13.386,Estable,0.004924,0.0,0.004388,11.554706,0.014667,2e-06,811.2,0.189956,LOW
cinturon fitness,Sports & Entertainment,MX,1.098901,-0.027074,9597.0,0.017089,39.997,Muerto,0.002378,0.005,0.004388,0.0,-0.002591,2.8e-05,14.909091,0.172426,LOW
cuerda saltar profesional,Sports & Entertainment,MX,1.098901,0.068482,66567.0,0.043069,39.23,Estable,0.00301,0.005,0.004388,7.262303,0.006554,2.8e-05,409.571429,0.182425,LOW
pesas tobillo ajustables,Sports & Entertainment,MX,1.098901,-0.062112,,0.0,75.996667,Muerto,0.003289,0.005,0.004388,0.0,-0.005944,2.8e-05,0.0,0.172339,LOW
botella shaker gimnasio,Home & Garden,MX,1.098901,0.015926,3968.0,0.008065,90.884,Muerto,0.004799,0.0,0.004388,2.53225,0.001524,2.8e-05,4.571429,0.173259,LOW
pastillero semanal,Beauty & Health,MX,1.098901,0.068482,58151.0,0.00325,33.252,Muerto,0.009785,0.0,0.004388,7.262303,0.006554,2.8e-05,27.0,0.175932,LOW
marcador paginas magnetico,Office & School Supplies,MX,1.098901,-0.039815,8794.0,0.137708,24.337,Estable,0.000674,0.0,0.004388,0.0,-0.00381,2.8e-05,302.75,0.178635,LOW
cojin lumbar silla,Home & Garden,MX,1.164835,0.038286,43.0,0.116279,171.972,Estable,0.003335,0.0,0.004388,4.610607,0.00388,2.8e-05,1.0,0.172612,LOW
Pelador de papas,Home & Garden,MX,8.967742,0.626613,37.0,0.0,70.917,Muerto,0.085281,0.075,0.004396,65.362903,0.193805,0.0,0.0,0.207279,LOW
regleta enchufes multiple,Computer & Office,MX,1.098901,-0.009556,1656593.0,0.015293,24.759,Estable,0.000826,0.005,0.004388,0.238892,-0.000914,2.8e-05,2814.888889,0.239213,LOW
aro de luz,Consumer Electronics,MX,28.806452,0.897984,122742.0,0.092641,23.551,Estable,0.027705,0.059913,0.005083,100.0,0.86876,0.0,258.431818,0.209051,LOW
temporizador enchufe digital,Tools,MX,1.098901,0.055741,1316.0,0.019757,52.126667,Muerto,0.001377,0.0,0.004388,6.115624,0.005334,2.8e-05,8.666667,0.172093,LOW
medidor consumo energia,Tools,MX,1.098901,0.050964,70905.0,0.021451,99.216,Muerto,0.000626,0.0,0.004388,5.685619,0.004877,2.8e-05,33.8,0.172385,LOW
humidificador de aire,Home Appliances,MX,30.322581,3.227823,14439.0,0.005402,550.788,Barato masivo,0.995807,0.911841,0.012801,100.0,2.825465,0.0,7.090909,0.644248,MEDIUM
camara seguridad interior,Security & Protection,MX,3.956044,0.231502,23842.0,0.026843,95.136,Muerto,0.003412,0.01,0.004388,24.791209,0.046619,0.0,40.0,0.171431,LOW
timbre inalambrico casa,Home Improvement,MX,1.098901,0.065297,2276.0,0.012742,40.043,Muerto,0.00677,0.0,0.004388,6.975633,0.006249,2.8e-05,5.8,0.174207,LOW
cerradura digital hogar,Home Improvement,MX,1.098901,0.070075,21594.0,0.016671,39.014,Muerto,0.004296,0.005,0.004388,7.405638,0.006706,2.8e-05,12.0,0.173379,LOW
caja fuerte pequeña,Home & Garden,MX,2.571429,-0.047699,177696.0,0.022313,40.231,Estable,0.003843,0.273794,0.004388,0.0,-0.007854,0.0,264.333333,0.175554,LOW
organizador de cables,Consumer Electronics,MX,29.677419,2.717339,1018.0,0.016699,21.539,Viral/Premium,0.898349,0.01,0.012276,100.0,2.168602,0.0,2.428571,0.587048,MEDIUM
organizador de cajones,Home & Garden,MX,29.580645,2.894355,22746.0,0.028093,24.416,Viral/Premium,0.957823,0.908881,0.012357,100.0,2.419923,0.0,19.363636,0.618175,MEDIUM
protector de pantalla,Phones & Telecommunications Accessories,MX,62.709677,-0.210081,3295.0,0.024279,8.601,Muerto,0.005027,0.03,0.004423,43.802419,-0.616658,0.0,8.0,0.153037,LOW
alfombra entrada antideslizante,Home & Garden,MX,1.098901,0.012741,628.0,0.017516,56.308,Muerto,0.004821,0.226315,0.004388,2.245581,0.001219,2.8e-05,1.833333,0.173193,LOW
cerradura inteligente,Security & Protection,MX,25.645161,1.407661,3321.0,0.011442,40.776,Muerto,0.106371,0.0,0.008722,100.0,1.303403,0.0,1.809524,0.246324,LOW
candado inteligente,Home Improvement,MX,3.225806,-0.564516,52574.0,0.008902,71.935,Muerto,0.003101,0.0,0.004388,0.0,-0.096043,0.0,66.857143,0.168024,LOW
